CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Psycho Gundam,GD02-001,6,4,Blue,UNIT,"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【During Pair･(Cyber-Newtype) Pilot】When one of your (Titans) Units destroys an enemy shield area card with damage, this Unit recovers 2 HP.",Space Earth,(Titans),[Four Murasame],4/5,Mobile Suit Z Gundam
Gundam Epyon,GD02-002,8,7,Blue,UNIT,"【During Link】【Once per Turn】During your turn, when one of your Units destroys an enemy Unit with battle damage, set this Unit as active.",Space Earth,(White Fang),[Zechs Merquise],6/6,Mobile Suit Gundam Wing
Gundam Mk-II (Titans),GD02-003,4,3,Blue,UNIT,"【During Pair･Lv.3 or Lower Pilot】【Destroyed】You may discard 1 Unit card. If you do, return the card paired with this Unit to your hand.",Space Earth,(Titans),(Titans) Trait,4/2,Mobile Suit Z Gundam
Byarlant,GD02-004,5,3,Blue,UNIT,【When Paired】Choose 1 rested enemy Unit with 3 or less HP. It won't be set as active during the start phase of your opponent's next turn.,Space Earth,(Titans),[Jerid Messa],4/3,Mobile Suit Z Gundam
Tallgeese,GD02-005,4,3,Blue,UNIT,【During Link】【Attack】Choose 1 enemy Unit with 2 or less HP. Rest it.,Space Earth,(OZ),(OZ) Trait,3/4,Mobile Suit Gundam Wing
Forbidden Gundam,GD02-006,5,3,Blue,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) During your turn, this Unit can't receive battle damage from enemy Units that are Lv.2 or lower.",Space Earth,(Earth Alliance),(Biological CPU) Trait,4/4,Mobile Suit Gundam SEED
Psycho Gundam (MA Mode),GD02-007,5,3,Blue,UNIT,"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Titans),(Cyber-Newtype) Trait,3/4,Mobile Suit Z Gundam
Gabthley,GD02-008,4,3,Blue,UNIT,【When Linked】Choose 1 rested enemy Unit. Deal 1 damage to it.,Space Earth,(Titans),(Titans) Trait,4/3,Mobile Suit Z Gundam
Calamity Gundam,GD02-009,5,3,Blue,UNIT,"【Once per Turn】When this Unit's AP is reduced by an enemy effect, choose 1 rested enemy Unit. Deal 2 damage to it.",Space Earth,(Earth Alliance),(Biological CPU) Trait,3/5,Mobile Suit Gundam SEED
Raider Gundam,GD02-010,5,3,Blue,UNIT,"【Once per Turn】When this Unit receives enemy effect damage, draw 1.",Space Earth,(Earth Alliance),(Biological CPU) Trait,4/4,Mobile Suit Gundam SEED
Moebius (Peacemaker Team),GD02-011,4,2,Blue,UNIT,【Activate･Action】Destroy this Unit：Choose 1 enemy Base/enemy Shield this Unit is battling. Deal 6 damage to it.,Space,(Earth Alliance),-,-/1,Mobile Suit Gundam SEED
Core Booster,GD02-012,2,2,Blue,UNIT,-,Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,2/2,Mobile Suit Gundam
Hizack,GD02-013,2,1,Blue,UNIT,-,Space Earth,(Titans),-,2/2,Mobile Suit Z Gundam
Galbaldy Beta,GD02-014,2,2,Blue,UNIT,【Deploy】Choose 1 of your (Titans) Units. It gets AP+1 during this turn.,Space Earth,(Titans),-,3/1,Mobile Suit Z Gundam
Marasai,GD02-015,3,2,Blue,UNIT,-,Space Earth,(Titans),(Titans) Trait,3/3,Mobile Suit Z Gundam
Barzam,GD02-016,3,2,Blue,UNIT,【Deploy】Choose 1 of your (Titans) Units. It gets AP+1 during this turn.,Space Earth,(Titans),-,3/2,Mobile Suit Z Gundam
Delta Plus (Waverider Mode),GD02-017,3,2,Blue,UNIT,"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Earth Federation),[Riddhe Marcenas],2/3,Mobile Suit Gundam Unicorn
Taurus,GD02-018,2,2,Blue,UNIT,This Unit can't choose the enemy player as its attack target.,Space Earth,(OZ),-,3/3,Mobile Suit Gundam Wing
Raider Gundam (MA Mode),GD02-019,4,2,Blue,UNIT,-,Space Earth,(Earth Alliance),(Biological CPU) Trait,4/3,Mobile Suit Gundam SEED
Elmeth,GD02-020,6,5,Green,UNIT,【Deploy】Look at the top 5 cards of your deck. You may reveal 1 green (Zeon) Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck. 【During Link】 This Unit gets AP+2.,Space,(Zeon),[Lalah Sune],4/4,Mobile Suit Gundam
Gundam AGE-1 Normal,GD02-021,3,2,Green,UNIT,"【Deploy】You may discard 1 green (Earth Federation) Unit card. If you do, place 1 EX Resource. Then, if you are Lv.7 or higher, draw 1.",Space Earth,(Earth Federation) (AGE System),(Asuno Family) Trait,2/2,Mobile Suit Gundam AGE
G-Exes,GD02-022,3,2,Green,UNIT,"【Once per Turn】When you place an EX Resource, choose 1 of your (AGE System) Units. It gains <Breach 2> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space Earth,(Earth Federation),[Woolf Enneacle],2/3,Mobile Suit Gundam AGE
Gundam AGE-1 Spallow,GD02-023,4,3,Green,UNIT,"【During Link】While you are Lv.7 or higher, this Unit gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)",Space Earth,(Earth Federation) (AGE System),[Flit Asuno],3/4,Mobile Suit Gundam AGE
Red Gundam,GD02-024,5,3,Green,UNIT,【During Link】This Unit gains <High-Maneuver>. (This Unit can't be blocked.),Space Earth,(Clan),(Clan) Trait,4/4,Mobile Suit Gundam GQuuuuuuX
Gundam Heavyarms,GD02-025,4,3,Green,UNIT,【Deploy】Look at the top card of your deck. Return it to the top or bottom of your deck.,Earth,(Operation Meteor),(Operation Meteor) Trait,3/4,Mobile Suit Gundam Wing
Genoace Custom,GD02-026,2,2,Green,UNIT,"【Deploy】If you are Lv.7 or higher, choose 1 of your (AGE System) Units. It gets AP+2 during this turn.",Space Earth,(Earth Federation),[Woolf Enneacle],2/2,Mobile Suit Gundam AGE
Gundam AGE-1 Titus,GD02-027,7,4,Green,UNIT,"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space Earth,(Earth Federation) (AGE System),[Flit Asuno],5/5,Mobile Suit Gundam AGE
Abdul's Maganac,GD02-028,3,2,Green,UNIT,-,Space Earth,(Maganac Corps),(Maganac Corps) Trait,3/3,Mobile Suit Gundam Wing
Gundam AGE-1 Normal,GD02-029,3,2,Green,UNIT,-,Space Earth,(Earth Federation) (AGE System),(Asuno Family) Trait,3/3,Mobile Suit Gundam AGE
Genoace,GD02-030,1,1,Green,UNIT,-,Space Earth,(Earth Federation),-,1/2,Mobile Suit Gundam AGE
Gundam AGE-1 Titus,GD02-031,4,2,Green,UNIT,"While you are Lv.7 or higher, this Unit gets AP+2.",Space Earth,(Earth Federation) (AGE System),[Flit Asuno],2/4,Mobile Suit Gundam AGE
White Gundam,GD02-032,3,2,Green,UNIT,-,Space Earth,(Zeon),[Char Aznable],3/3,Mobile Suit Gundam GQuuuuuuX
Kikeroga (MA Mode) (GQ),GD02-033,5,4,Green,UNIT,"While another friendly (Zeon) Link Unit is in play, this Unit gains <Breach 5>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space,(Zeon),[Challia Bull],3/4,Mobile Suit Gundam GQuuuuuuX
GQuuuuuuX,GD02-034,2,1,Green,UNIT,【During Pair･Red Pilot】This Unit gets AP+2.,Space Earth,(Zeon),-,-/3,Mobile Suit Gundam GQuuuuuuX
Police Zaku (Armored RRU Type),GD02-035,2,1,Green,UNIT,This Unit can't choose the enemy player as its attack target.,Space Earth,(Side 6),-,2/3,Mobile Suit Gundam GQuuuuuuX
Qubeley,GD02-036,7,5,Red,UNIT,【When Linked】This Unit gains <Suppression> during this turn. (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.) 【During Pair･(Neo Zeon) Pilot】【Attack】Choose 1 damaged enemy Unit. Deal 2 damage to it.,Space Earth,(Neo Zeon),[Haman Karn],5/5,Mobile Suit Z Gundam
Gundam Virsago,GD02-037,5,4,Red,UNIT,"<Breach 1> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【Deploy】If there are 3 or less enemy Shields, choose 1 enemy Unit with 5 or less AP. Deal 2 damage to it.",Space Earth,(New UNE),[Shagia Frost],4/4,After War Gundam X
GQuuuuuuX (Omega Psycommu),GD02-038,7,5,Red,UNIT,【Deploy】Look at the top 3 cards of your deck. You may deploy 1 (Clan) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.,Space Earth,(Clan),[Amate Yuzuriha (Machu)],5/4,Mobile Suit Gundam GQuuuuuuX
Haman Karn's Gaza C,GD02-039,3,2,Red,UNIT,【When Paired】Choose 1 enemy Unit that is Lv.3 or lower. Deal 1 damage to it.,Space Earth,(Neo Zeon),[Haman Karn],2/3,Mobile Suit Z Gundam
Gundam Ashtaron,GD02-040,4,3,Red,UNIT,【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) 【Deploy】Choose 1 of your other (New UNE) Units. It can't receive battle damage from enemy Units with 2 or less HP during this turn.,Space Earth,(New UNE),(New UNE) Trait,3/3,After War Gundam X
Sugai's Gelgoog (GQ),GD02-041,4,4,Red,UNIT,【Deploy】Choose 1 enemy Unit that is Lv.5 or higher. Deal 2 damage to it.,Space Earth,(Clan),[Shiiko Sugai],3/3,Mobile Suit Gundam GQuuuuuuX
Gundam Ashtaron (MA Mode),GD02-042,3,2,Red,UNIT,【Deploy】Choose 1 of your (New UNE) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.),Space Earth,(New UNE),[Olba Frost],3/2,After War Gundam X
Daughtress Weapon,GD02-043,2,2,Red,UNIT,"【Deploy】If you have another (New UNE) Unit in play, deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token.",Space Earth,(New UNE),-,2/1,After War Gundam X
Daughtress Command,GD02-044,2,2,Red,UNIT,"【Destroyed】If you have another (New UNE) Unit in play, deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token.",Space Earth,(New UNE),-,3/1,After War Gundam X
GINN Long-Range Reconnaissance Type,GD02-045,2,2,Red,UNIT,"【Attack】If this Unit has 5 or more AP and it is attacking an enemy Unit, draw 1.",Space Earth,(ZAFT),-,1/1,Mobile Suit Gundam SEED
